class,score,weight
F1,0.5625,Human Satisfaction
F1,1.0,Human Satisfaction
F1,0.625,Human Satisfaction
F1,1.0,Human Satisfaction
F1,0.5,Human Satisfaction
F1,0.8125,Human Satisfaction
F1,0.6875,Human Satisfaction
F1,0.25,Human Satisfaction
F1,0.75,Human Satisfaction
DLD,0.601041163111775,Measures
DLD,0.8667671266261668,Measures
DLD,0.4087821298127247,Measures
DLD,0.6719586674301307,Measures
DLD,0.5527059362050926,Measures
DLD,0.48208218986196716,Measures
DLD,0.6113134162427138,Measures
DLD,0.5915638659258036,Measures
DLD,1.0,Measures
DLD,0.7611119461822036,Measures
DLD,0.2182195976681357,Measures
DLD,0.6012009405584643,Measures
DLD,0.8809620396744551,Measures
DLD,0.5207619103886629,Measures
DLD,0.4931816352726226,Measures
DLD,0.8607065205655609,Measures
DLD,0.5273203003951736,Measures
DLD,1.0,Measures
DLD,0.6579461687285508,Measures
DLD,1.0,Measures
DLD,0.5762669635508344,Measures
DLD,0.8340398538988941,Measures
DLD,0.6611111111111111,Measures
DLD,0.28798643825845244,Measures
DLD,0.7660000056267581,Measures
DLD,0.5,Human Satisfaction
DLD,0.9375,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,0.625,Human Satisfaction
DLD,0.5,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,1.0,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,0.125,Human Satisfaction
DLD,0.625,Human Satisfaction
DLD,0.9375,Human Satisfaction
DLD,0.5,Human Satisfaction
DLD,0.375,Human Satisfaction
DLD,0.875,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,1.0,Human Satisfaction
DLD,0.625,Human Satisfaction
DLD,1.0,Human Satisfaction
DLD,0.5,Human Satisfaction
DLD,0.8125,Human Satisfaction
DLD,0.6875,Human Satisfaction
DLD,0.25,Human Satisfaction
DLD,0.75,Human Satisfaction
NMI,0.9512246886103929,Measures
NMI,0.9502024297488686,Measures
NMI,1.0,Measures
NMI,0.81129739273866,Measures
NMI,0.5518862881705017,Measures
NMI,0.8477041157863142,Measures
NMI,0.8753901989550774,Measures
NMI,0.8859292619686323,Measures
NMI,0.803656146163474,Measures
NMI,0.8317940951537383,Measures
NMI,0.7400356064612659,Measures
NMI,0.7205716774407741,Measures
NMI,0.9416701872433054,Measures
NMI,0.6573209964396027,Measures
NMI,1.0,Measures
NMI,1.0,Measures
NMI,0.9508214721983258,Measures
NMI,0.8040233320463274,Measures
NMI,0.8780880368394124,Measures
NMI,0.8377220336738537,Measures
NMI,0.7633033016901889,Measures
NMI,1.0,Measures
NMI,0.7554220625719447,Measures
NMI,0.7048201085624415,Measures
NMI,0.5,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.4375,Human Satisfaction
NMI,0.8125,Human Satisfaction
NMI,0.8125,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,1.0,Human Satisfaction
NMI,0.6666666666666666,Human Satisfaction
NMI,0.25,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.3333333333333333,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,1.0,Human Satisfaction
NMI,0.9375,Human Satisfaction
ARI,0.9901743264659271,Measures
ARI,0.938137321549966,Measures
ARI,1.0,Measures
ARI,0.6061689025731252,Measures
ARI,0.2755728697358001,Measures
ARI,0.5748792270531401,Measures
ARI,0.7857142857142857,Measures
ARI,0.784,Measures
ARI,0.6583435906453314,Measures
ARI,0.6382428940568475,Measures
ARI,0.5396039603960396,Measures
ARI,0.12499999999999997,Measures
ARI,0.8888888888888888,Measures
ARI,0.45029661817494804,Measures
ARI,1.0,Measures
ARI,1.0,Measures
ARI,0.9711117595564633,Measures
ARI,0.7519882401718744,Measures
ARI,0.7364125999673576,Measures
ARI,0.7328023171614771,Measures
ARI,0.6796378285302891,Measures
ARI,1.0,Measures
ARI,0.44974446337308344,Measures
ARI,0.5684344236265481,Measures
ARI,0.5,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.3125,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.4375,Human Satisfaction
ARI,0.8125,Human Satisfaction
ARI,0.8125,Human Satisfaction
ARI,0.3125,Human Satisfaction
