project,differences,metrics
angular,0.043680990739181635,NMI
angular,0.26813870362969194,NMI
angular,0.09344027945640676,NMI
angular,0.16556239420203278,NMI
angular,0.625,NMI
angular,0.35163795876848947,NMI
angular,0.18333333333333335,NMI
angular,0.12347418510317576,NMI
angular,0.2369178303942282,NMI
angular,0.11624579389811196,NMI
angular,0.7333827107533045,NMI
angular,0.42994567349864266,NMI
angular,0.24375632081541576,NMI
angular,0.25,NMI
angular,0.10322196036511366,NMI
angular,0.3125,NMI
angular,0.08277163214190064,NMI
angular,0.07244142697917788,NMI
angular,0.037254788028825314,NMI
angular,0.051034960621297754,NMI
angular,0.3125,NMI
angular,0.0625,NMI
angular,0.42032068781747733,NMI
angular,0.31613977464719356,NMI
angular,0.027712883635536367,NMI
angular,0.2141814737057709,ARI
angular,0.09959896604164498,ARI
angular,0.4189495427562971,ARI
angular,0.3935211598483069,ARI
angular,0.625,ARI
angular,0.37250623441396513,ARI
angular,0.15000000000000002,ARI
angular,0.12306340840121377,ARI
angular,0.10118152242356404,ARI
angular,0.2913737155219037,ARI
angular,0.7066276586277476,ARI
angular,0.4054639700883752,ARI
angular,0.20770958083832336,ARI
angular,0.25,ARI
angular,0.2336989151587926,ARI
angular,0.3125,ARI
angular,0.1817196531791908,ARI
angular,0.09832174944905914,ARI
angular,0.1270070491482279,ARI
angular,0.4930555555555555,ARI
angular,0.3125,ARI
angular,0.0625,ARI
angular,0.4048858937050084,ARI
angular,0.12400716074516244,ARI
angular,0.04761518494484096,ARI
angular,0.1489041095890412,Shen-F
angular,0.3818634811281869,Shen-F
angular,0.0525000000000001,Shen-F
angular,0.08846153846153859,Shen-F
angular,0.625,Shen-F
angular,0.3594961240310077,Shen-F
angular,0.16666666666666663,Shen-F
angular,0.15647798742138364,Shen-F
angular,0.25815217391304346,Shen-F
angular,0.14839572192513362,Shen-F
angular,0.7805325987144169,Shen-F
angular,0.4535394265232975,Shen-F
angular,0.2236111111111111,Shen-F
angular,0.25,Shen-F
angular,0.16607142857142865,Shen-F
angular,0.3124999999999999,Shen-F
angular,0.08044258373205737,Shen-F
angular,0.01766190075693863,Shen-F
angular,0.06377551020408156,Shen-F
angular,0.03749999999999998,Shen-F
angular,0.3125,Shen-F
angular,0.0625,Shen-F
angular,0.4241071428571428,Shen-F
angular,0.40757538225408485,Shen-F
angular,0.06875000000000009,Shen-F
angular,0.16666666666666663,F1
angular,0.1875,F1
angular,0.03749999999999998,F1
angular,0.15000000000000002,F1
angular,0.10416666666666663,F1
angular,0.25,F1
angular,0.09999999999999998,F1
angular,0.15000000000000002,F1
angular,0.0,F1
angular,0.1071428571428571,F1
angular,0.125,F1
angular,0.125,F1
angular,0.0803571428571429,F1
angular,0.09999999999999998,F1
angular,0.025000000000000022,F1
angular,0.017857142857142905,F1
angular,0.0625,F1
angular,0.0,F1
angular,0.025000000000000022,F1
angular,0.0,F1
angular,0.09999999999999998,F1
angular,0.044642857142857095,F1
angular,0.0625,F1
angular,0.25,F1
